"";"Agr";"Min";"Fab";"Ene";"Con";"IS";"Fin";"SSP";"TC"
"Agr";1;0,140162126923688;-0,498524440687894;-0,179901180079407;-0,210095452279273;-0,711180308851314;-0,115412350368713;-0,786093475467101;-0,37967436774956
"Min";0,140162126923688;1;0,460885489335895;0,396972660586119;-0,138912303238492;-0,468753076354531;-0,481234589067773;-0,320968549941999;0,114973178930008
"Fab";-0,498524440687894;0,460885489335895;1;0,189816996806881;0,20082286221034;0,0147466016551005;-0,336070565185115;0,0238868493796648;0,107590473868894
"Ene";-0,179901180079407;0,396972660586119;0,189816996806881;1;-0,34449586805268;0,0598344749827485;0,0200011799498351;0,030022863191469;0,204808759357678
"Con";-0,210095452279273;-0,138912303238492;0,20082286221034;-0,34449586805268;1;0,179864975493814;-0,169668583500635;-0,00425413268780717;0,0944797900014876
"IS";-0,711180308851314;-0,468753076354531;0,0147466016551005;0,0598344749827485;0,179864975493814;1;0,319084024539391;0,53640996698337;0,0219301144265452
"Fin";-0,115412350368713;-0,481234589067773;-0,336070565185115;0,0200011799498351;-0,169668583500635;0,319084024539391;1;0,0595924547471121;-0,410027279696243
"SSP";-0,786093475467101;-0,320968549941999;0,0238868493796648;0,030022863191469;-0,00425413268780717;0,53640996698337;0,0595924547471121;1;0,530955112863239
"TC";-0,37967436774956;0,114973178930008;0,107590473868894;0,204808759357678;0,0944797900014876;0,0219301144265452;-0,410027279696243;0,530955112863239;1
